ID	T_WT_1	T_WT_2	T_WT_3	T_WT_4	T_WT_5	T_WT_6	T_WT_7	T_WT_8	T_WT_9	T_WT_10	T_BRCA1_1	T_BRCA1_2	T_BRCA1_3	T_BRCA1_4	T_BRCA1_5	T_BRCA2_1	T_BRCA2_2	T_BRCA2_3	T_BRCA2_4	T_BRCA2_5
COL1A2	7114.47	2616.85	102.272	28701.4	126.708	3781.64	6200.13	6681.94	652.773	319.303	2519.02	1193.34	625.593	1453.31	2464.54	2616.19	1974.57	590.299	5221.85	757.916
COL3A1	2414.13	977.844	55.1091	14440.0	341.018	1199.92	1593.01	3571.81	237.861	120.78	636.024	378.133	288.593	469.745	1021.2	1376.95	492.376	186.83	2013.86	91.3821
COL5A1	197.21359	72.61516999999999	8.41756	1153.135	8.895499	175.56308	167.5013	272.7282	28.06973	29.16052	72.77423	32.1008	15.566764	39.74291	100.12219	168.1566	111.52853	46.06808	182.4238	12.812054
FBN1	288.539	69.9426	6.59078	708.514	3.52606	295.148	459.874	132.875	9.68427	7.35064	33.7921	20.6019	24.2374	35.5445	47.2789	41.9136	28.677	170.106	126.195	9.05149
PMP22	377.3831305	60.27617599999999	12.419598	212.425474	7.606692000000001	299.0231787	371.903621	52.11136	21.363733	29.443544	41.893631	9.708786	16.051674	23.646868	19.025752	36.95449	38.602326	130.4232663	66.246685	6.946041
COL5A2	237.297	146.396	13.1466	2040.15	19.5886	147.33	172.172	414.489	32.7408	18.4874	66.1198	46.8853	38.5022	67.8269	159.251	198.549	49.2147	54.8341	269.166	13.3236
SERPINE1	20.587	11.5254	28.4727	380.174	7.73863	355.889	599.222	59.6412	13.7739	7.99221	129.907	5.36163	16.2367	2.4934	81.8314	328.929	52.0155	148.33	110.701	1.74214
IL13RA2	0.372453	0.117936	0.391157	0.638382	0.250605	0.158969	0.0	0.699719	0.152573	0.0706686	0.352241	0.338114	0.124945	0.152217	0.233644	0.875957	0.0855671	0.11346	0.21548	0.06028
DIO2	0.1445802	3.347218	0.0350146	0.7313683	0.134886	0.089651	0.0374128	0.7253322	0.046019	0.0241644	0.0468523	0.0161146	0.00935484	0.0282927	0.1628951	0.0334519	0.0213601	0.1252808	0.3966479	0.0264691
PTGIS	119.655	2.13861	1.68527	112.095	0.596793	80.93	129.79	10.023	1.49607	1.00435	25.5644	2.54422	2.92934	11.6986	21.8167	25.9969	2.37577	54.8952	10.2324	0.879229
RBMS3	43.1302948	13.3147984	2.4089877	28.117953	7.00223841	63.5193234	101.27761999999998	6.6844215	5.000791	1.4460821	12.0355076	7.6662769	13.8180181	8.1223928	13.959664	9.568548	13.4047119	66.0734658	11.0859332	5.044862999999999
EVI2A	1.617903	1.92695	0.878711	5.473135	1.485483	1.634855	1.907847	1.556875	2.206763	0.6239649	1.250623	2.21565	2.697763	1.88573	1.66864	5.87251	2.128736	2.007815	1.1147200993227	1.016592
ATP8B2	49.959817	27.113905251	3.17154463	51.10888	9.120601000056231	60.56744736000001	90.9934784	19.828567868	8.439149284500001	18.3061570633243	24.450860002386133	19.7523809182	16.603775	8.7382438	8.449276	12.200211	18.84806000269695	53.03405000000001	11.893303	5.22733
EML1	10.3114	13.0768	3.00184	8.815895	11.328676	4.191115	6.090501	5.08117	4.735334	4.36958	8.563895	8.895896	3.246248	3.4551	1.75157	7.929911	7.968873	2.86764	7.288141	3.58054
